carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
19186,vw, Scirocco,2016,32526,125,52.3,1.4,14382,Manual,Petrol
12421,vw, Shuttle,2019,10000,150,32.8,2,34950,Semi-Auto,Diesel
15939,vw, CC,2016,54355,125,58.9,2,10712,Automatic,Diesel
14971,bmw, Z4,2019,7363,145,38.2,2,27450,Semi-Auto,Petrol
16249,merc, CLS Class,2013,64777,205,47.1,3,14972,Semi-Auto,Diesel
16100,merc, CLS Class,2019,7301,145,47.9,2.9,42900,Semi-Auto,Diesel
14801,ford, KA,2013,33761,30,57.7,1.2,4500,Manual,Petrol
18138,audi, SQ5,2017,27000,150,34,3,36950,Automatic,Petrol
17046,hyundi, IX20,2018,3250,145,37.2,1.6,12995,Manual,Petrol
12084,skoda, Scala,2019,3501,145,49.6,1,15490,Manual,Petrol
18661,audi, RS5,2019,2469,150,29.7,2.9,56400,Semi-Auto,Petrol
17430,bmw, X4,2019,8515,145,42.8,2,34000,Semi-Auto,Diesel
16752,bmw, 6 Series,2020,11,145,42.8,2,33999,Semi-Auto,Petrol
19529,skoda, Rapid,2013,29750,125,52.3,1.2,5495,Manual,Petrol
15544,toyota, Prius,2013,52217,0,134.5,1.8,13522,Automatic,Hybrid
12997,ford, Edge,2017,25725,145,47.9,2,22511,Semi-Auto,Diesel
15560,skoda, Yeti,2017,13591,145,51.4,1.2,15495,Manual,Petrol
16273,ford, Edge,2017,19039,160,48.7,2,20000,Automatic,Diesel
13104,merc, SLK,2006,75000,555,28,3.5,4995,Automatic,Petrol
16336,skoda, Yeti,2014,43429,30,61.4,1.6,9000,Manual,Diesel
15333,merc, GLS Class,2018,41102,145,23,5.5,64999,Semi-Auto,Petrol
18089,hyundi, Santa Fe,2020,1801,145,39.8,2.2,35995,Semi-Auto,Diesel
17874,ford, KA,2016,30225,30,57.7,1.2,5666,Manual,Petrol
19347,skoda, Scala,2019,5000,145,47.1,1,16250,Semi-Auto,Petrol
17270,toyota, GT86,2014,39761,265,36.2,2,13000,Manual,Petrol
14902,skoda, Yeti,2015,32800,165,49.6,2,10480,Manual,Diesel
15948,bmw, 6 Series,2019,7994,145,42.8,2,31999,Semi-Auto,Petrol
18075,vw, Amarok,2019,16898,260,33.6,3,27990,Automatic,Diesel
16060,skoda, Kamiq,2019,1500,145,43.5,1.5,22500,Semi-Auto,Petrol
18851,ford, Grand Tourneo Connect,2015,30760,115,58.9,1.6,10995,Manual,Diesel
18556,merc, X-CLASS,2017,11447,260,35.8,2.3,31000,Automatic,Diesel
15116,skoda, Kamiq,2020,1500,145,49.6,1,18490,Manual,Petrol
12261,ford, Grand C-MAX,2017,8121,145,54.3,1,12490,Manual,Petrol
18981,hyundi, I800,2018,34605,145,28,2.5,15990,Automatic,Diesel
17093,hyundi, Santa Fe,2019,30,145,40.9,2.2,32995,Semi-Auto,Diesel
14652,skoda, Rapid,2017,23002,145,57.7,1.2,8990,Manual,Petrol
16202,merc, G Class,2017,38247,145,20.5,5.5,71995,Automatic,Petrol
18517,hyundi, IX20,2017,21354,145,50.4,1.4,9490,Manual,Petrol
16598,skoda, Scala,2019,3500,145,45.6,1.5,17995,Automatic,Petrol
16333,ford, Galaxy,2017,40838,145,52.3,2,18000,Semi-Auto,Diesel
16002,ford, Edge,2019,4694,145,37.2,2,33000,Automatic,Diesel
18163,hyundi, I800,2019,7691,150,31.7,0,18500,Manual,Diesel
12150,vw, Caravelle,2019,11163,145,33.6,2,44500,Automatic,Diesel
12036,skoda, Rapid,2018,12231,145,62.8,1,7995,Manual,Petrol
19622,toyota, GT86,2014,25499,260,36.2,2,12998,Manual,Petrol
13578,ford, KA,2009,6000,30,55.4,1.2,4990,Manual,Petrol
15531,vw, Caravelle,2020,2000,150,33.6,2,43495,Semi-Auto,Diesel
14617,merc, GLB Class,2020,19,145,46.3,2,36980,Semi-Auto,Diesel
14686,hyundi, IX35,2014,53544,165,51.4,2,9475,Manual,Diesel
12797,toyota, Supra,2019,10,145,34.5,3,49499,Automatic,Petrol
